atom,x,y,z
C,-34.433168,7.100002,0
C,-34.433168,11.360002,0
C,-34.433168,15.620002,0
C,-34.433168,19.880002,0
C,-34.433168,24.140003,0
C,-34.433168,28.400003,0
C,-34.433168,32.660003,0
C,-34.433168,36.920003,0
C,-34.433168,41.180004,0
C,-31.973656,-39.760001,0
C,-31.973656,-35.500001,0
C,-31.973656,-31.24,0
C,-31.973656,-26.98,0
C,-31.973656,-22.72,0
C,-31.973656,-18.46,0
C,-31.973656,-14.199999,0
C,-31.973656,-9.939999,0
C,-31.973656,-5.679999,0
C,-31.973656,-1.419999,0
C,-31.973656,2.840002,0
C,-31.973656,7.100002,0
C,-31.973656,11.360002,0
C,-31.973656,15.620002,0
C,-31.973656,19.880002,0
C,-31.973656,24.140003,0
C,-31.973656,28.400003,0
C,-31.973656,32.660003,0
C,-31.973656,36.920003,0
C,-31.973656,41.180004,0
C,-29.514144,-39.760001,0
C,-29.514144,-35.500001,0
C,-29.514144,-31.24,0
C,-29.514144,-26.98,0
C,-29.514144,-22.72,0
C,-29.514144,-18.46,0
C,-29.514144,-14.199999,0
C,-29.514144,-9.939999,0
C,-29.514144,-5.679999,0
C,-29.514144,-1.419999,0
C,-29.514144,2.840002,0
C,-29.514144,7.100002,0
C,-29.514144,11.360002,0
C,-29.514144,15.620002,0
C,-29.514144,19.880002,0
C,-29.514144,24.140003,0
C,-29.514144,28.400003,0
C,-29.514144,32.660003,0
C,-29.514144,36.920003,0
C,-29.514144,41.180004,0
C,-27.054632,-39.760001,0
C,-27.054632,-35.500001,0
C,-27.054632,-31.24,0
C,-27.054632,-26.98,0
C,-27.054632,-22.72,0
C,-27.054632,-18.46,0
C,-27.054632,-14.199999,0
C,-27.054632,-9.939999,0
C,-27.054632,-5.679999,0
C,-27.054632,-1.419999,0
C,-27.054632,2.840002,0
C,-27.054632,7.100002,0
C,-27.054632,11.360002,0
C,-27.054632,15.620002,0
C,-27.054632,19.880002,0
C,-27.054632,24.140003,0
C,-27.054632,28.400003,0
C,-27.054632,32.660003,0
C,-27.054632,36.920003,0
C,-27.054632,41.180004,0
C,-24.59512,-39.760001,0
C,-24.59512,-35.500001,0
C,-24.59512,-31.24,0
C,-24.59512,-26.98,0
C,-24.59512,-22.72,0
C,-24.59512,-18.46,0
C,-24.59512,-14.199999,0
C,-24.59512,-9.939999,0
C,-24.59512,-5.679999,0
C,-24.59512,-1.419999,0
C,-24.59512,2.840002,0
C,-24.59512,7.100002,0
C,-24.59512,11.360002,0
C,-24.59512,15.620002,0
C,-24.59512,19.880002,0
C,-24.59512,24.140003,0
C,-24.59512,28.400003,0
C,-24.59512,32.660003,0
C,-24.59512,36.920003,0
C,-24.59512,41.180004,0
C,-22.135608,-39.760001,0
C,-22.135608,-35.500001,0
C,-22.135608,-31.24,0
C,-22.135608,-26.98,0
C,-22.135608,-22.72,0
C,-22.135608,-18.46,0
C,-22.135608,-14.199999,0
C,-22.135608,-9.939999,0
C,-22.135608,-5.679999,0
C,-22.135608,-1.419999,0
C,-22.135608,2.840002,0
C,-22.135608,7.100002,0
C,-22.135608,11.360002,0
C,-22.135608,15.620002,0
C,-22.135608,19.880002,0
C,-22.135608,24.140003,0
C,-22.135608,28.400003,0
C,-22.135608,32.660003,0
C,-22.135608,36.920003,0
C,-22.135608,41.180004,0
C,-19.676096,-39.760001,0
C,-19.676096,-35.500001,0
C,-19.676096,-31.24,0
C,-19.676096,-26.98,0
C,-19.676096,-22.72,0
C,-19.676096,-18.46,0
C,-19.676096,-14.199999,0
C,-19.676096,-9.939999,0
C,-19.676096,-5.679999,0
C,-19.676096,-1.419999,0
C,-19.676096,2.840002,0
C,-19.676096,7.100002,0
C,-19.676096,11.360002,0
C,-19.676096,15.620002,0
C,-19.676096,19.880002,0
C,-19.676096,24.140003,0
C,-19.676096,28.400003,0
C,-19.676096,32.660003,0
C,-19.676096,36.920003,0
C,-19.676096,41.180004,0
C,-17.216584,-39.760001,0
C,-17.216584,-35.500001,0
C,-17.216584,-31.24,0
C,-17.216584,-26.98,0
C,-17.216584,-22.72,0
C,-17.216584,-18.46,0
C,-17.216584,-14.199999,0
C,-17.216584,-9.939999,0
C,-17.216584,-5.679999,0
C,-17.216584,-1.419999,0
C,-17.216584,2.840002,0
C,-17.216584,7.100002,0
C,-17.216584,11.360002,0
C,-17.216584,15.620002,0
C,-17.216584,19.880002,0
C,-17.216584,24.140003,0
C,-17.216584,28.400003,0
C,-17.216584,32.660003,0
C,-17.216584,36.920003,0
C,-17.216584,41.180004,0
C,-14.757072,-39.760001,0
C,-14.757072,-35.500001,0
C,-14.757072,-31.24,0
C,-14.757072,-26.98,0
C,-14.757072,-22.72,0
C,-14.757072,-18.46,0
C,-14.757072,-14.199999,0
C,-14.757072,-9.939999,0
C,-14.757072,-5.679999,0
C,-14.757072,-1.419999,0
C,-14.757072,2.840002,0
C,-14.757072,7.100002,0
C,-14.757072,11.360002,0
C,-14.757072,15.620002,0
C,-14.757072,19.880002,0
C,-14.757072,24.140003,0
C,-14.757072,28.400003,0
C,-14.757072,32.660003,0
C,-14.757072,36.920003,0
C,-14.757072,41.180004,0
C,-12.29756,-39.760001,0
C,-12.29756,-35.500001,0
C,-12.29756,-31.24,0
C,-12.29756,-26.98,0
C,-12.29756,-22.72,0
C,-12.29756,-18.46,0
C,-12.29756,-14.199999,0
C,-12.29756,-9.939999,0
C,-12.29756,-5.679999,0
C,-12.29756,-1.419999,0
C,-12.29756,2.840002,0
C,-12.29756,7.100002,0
C,-12.29756,11.360002,0
C,-12.29756,15.620002,0
C,-12.29756,19.880002,0
C,-12.29756,24.140003,0
C,-12.29756,28.400003,0
C,-12.29756,32.660003,0
C,-12.29756,36.920003,0
C,-12.29756,41.180004,0
C,-9.838048,-39.760001,0
C,-9.838048,-35.500001,0
C,-9.838048,-31.24,0
C,-9.838048,-26.98,0
